race,SEN16D,SEN16R,SEN16None
WVAP,0.173 (0.1426-0.2075),0.3882 (0.374-0.4007),0.4388 (0.4094-0.4658)
OVAP,0.5283 (0.3851-0.6468),0.1146 (0.0636-0.1835),0.3571 (0.2598-0.4822)
