race,PRES12D,PRES12R,PRES12None
WVAP,0.1971 (0.171-0.2257),0.3967 (0.3891-0.4028),0.4062 (0.3795-0.4324)
OVAP,0.4842 (0.3661-0.593),0.0474 (0.0235-0.0793),0.4684 (0.3611-0.5811)
