race,SEN16PD_CV,SEN16PD_DE,SEN16PDNone
WVAP,0.0608 (0.0558-0.0656),0.0201 (0.0153-0.0248),0.9191 (0.9125-0.9257)
OVAP,0.0383 (0.0211-0.0585),0.0774 (0.0558-0.1019),0.8843 (0.8537-0.9127)
