race,COMP18D,COMP18R,COMP18None
WVAP,0.2622 (0.2293-0.2932),0.2198 (0.2045-0.232),0.518 (0.4876-0.548)
OVAP,0.3856 (0.2564-0.5288),0.128 (0.0684-0.2033),0.4864 (0.3639-0.6161)
