race,COMP14D,COMP14R,COMP14None
WVAP,0.1866 (0.1615-0.2103),0.2192 (0.205-0.2302),0.5942 (0.5722-0.617)
OVAP,0.2592 (0.1546-0.3678),0.1179 (0.0652-0.1877),0.6229 (0.5226-0.7214)
