race,GOV14PD_AB,GOV14PD_DG,GOV14PD_HM,GOV14PDNone
WVAP,0.0189 (0.0154-0.0221),0.0206 (0.0187-0.0222),0.0138 (0.0124-0.015),0.9467 (0.9428-0.9507)
OVAP,0.0554 (0.04-0.0728),0.0121 (0.0062-0.0206),0.0097 (0.0048-0.0174),0.9228 (0.9032-0.9409)
