race,GOV18PD_BJ,GOV18PD_JS,GOV18PD_KV,GOV18PD_RM,GOV18PD_RB,GOV18PDNone
WVAP,0.0234 (0.0211-0.0256),0.0072 (0.0059-0.0087),0.0062 (0.0051-0.0073),0.0016 (0.001-0.0024),0.0089 (0.0074-0.0104),0.9526 (0.9492-0.956)
OVAP,0.0221 (0.0142-0.0313),0.0143 (0.0083-0.0206),0.0086 (0.0042-0.014),0.0094 (0.0055-0.0131),0.0137 (0.0078-0.0206),0.9319 (0.9166-0.9459)
