race,AG14PD_BFR,AG14PD_ABR,AG14PD_JCA,AG14PDNone
WVAP,0.0221 (0.0199-0.0242),0.0037 (0.0024-0.0051),0.0269 (0.0242-0.0296),0.9473 (0.9435-0.951)
BVAP,0.0126 (0.0058-0.0223),0.0243 (0.0155-0.0341),0.031 (0.0177-0.0476),0.9321 (0.9108-0.9506)
HVAP,0.0456 (0.015-0.0878),0.0482 (0.0184-0.0838),0.036 (0.0148-0.0678),0.8702 (0.8111-0.9232)
OVAP,0.0307 (0.0092-0.0623),0.0469 (0.0181-0.0897),0.0361 (0.0109-0.0721),0.8863 (0.8243-0.9348)
