race,SEN18D,SEN18R,SEN18None
WVAP,0.1637 (0.1358-0.198),0.2833 (0.2694-0.2942),0.553 (0.5214-0.5785)
OVAP,0.4829 (0.3356-0.5986),0.1091 (0.06-0.1727),0.408 (0.3056-0.5434)
