race,SEN18D,SEN18R,SEN18None
WVAP,0.1553 (0.1348-0.1794),0.2717 (0.257-0.2837),0.573 (0.5526-0.5907)
BVAP,0.4386 (0.3003-0.5564),0.1357 (0.0768-0.2161),0.4257 (0.3262-0.5423)
HVAP,0.5686 (0.3543-0.7278),0.218 (0.0858-0.414),0.2134 (0.119-0.3367)
OVAP,0.7776 (0.6395-0.8879),0.1536 (0.0529-0.2745),0.0688 (0.0268-0.1375)
