race,COMP14D,COMP14R,COMP14None
WVAP,0.1639 (0.1446-0.1836),0.2076 (0.1946-0.2192),0.6285 (0.6114-0.646)
BVAP,0.2739 (0.1588-0.3884),0.142 (0.0805-0.2272),0.584 (0.4731-0.6835)
HVAP,0.4613 (0.2284-0.6501),0.1833 (0.0596-0.3517),0.3554 (0.2061-0.5286)
OVAP,0.5754 (0.3293-0.7642),0.2159 (0.0901-0.3776),0.2086 (0.0957-0.3923)
