race,AG18D,AG18R,AG18None
WVAP,0.1476 (0.1198-0.1819),0.3162 (0.2999-0.328),0.5362 (0.504-0.5612)
OVAP,0.4877 (0.3394-0.6028),0.1178 (0.0656-0.1915),0.3945 (0.294-0.5308)
