race,AG14PD_BFR,AG14PD_ABR,AG14PD_JCA,AG14PDNone
WVAP,0.0241 (0.0217-0.0261),0.0043 (0.0026-0.0062),0.0279 (0.0251-0.0305),0.9437 (0.9402-0.9474)
OVAP,0.0125 (0.0058-0.0219),0.0291 (0.02-0.0385),0.0279 (0.0183-0.04),0.9305 (0.9141-0.9449)
