race,GOV14D,GOV14R,GOV14None
WVAP,0.0519 (0.0385-0.0698),0.3255 (0.312-0.3363),0.6225 (0.6037-0.6395)
OVAP,0.4087 (0.3306-0.473),0.0905 (0.05-0.1491),0.5007 (0.4266-0.582)
