race,PRES16D,PRES16R,PRES16None
WVAP,0.1501 (0.1206-0.1808),0.3992 (0.3833-0.4112),0.4507 (0.4245-0.4766)
OVAP,0.5647 (0.442-0.6773),0.1117 (0.0627-0.1816),0.3237 (0.2331-0.4337)
