race,AG14D,AG14R,AG14None
WVAP,0.1081 (0.0846-0.1346),0.2546 (0.2419-0.2648),0.6373 (0.6126-0.6616)
OVAP,0.3298 (0.2126-0.44),0.0981 (0.0538-0.1571),0.5721 (0.465-0.6804)
