race,GOV18D,GOV18R,GOV18None
WVAP,0.0489 (0.037-0.0639),0.4195 (0.4-0.4347),0.5316 (0.5128-0.5526)
OVAP,0.4512 (0.3858-0.5038),0.1448 (0.0829-0.2233),0.404 (0.3228-0.4796)
