race,AG14D,AG14R,AG14None
WVAP,0.0973 (0.0793-0.1188),0.2436 (0.2313-0.2542),0.6592 (0.6401-0.6764)
BVAP,0.2931 (0.1749-0.4049),0.1254 (0.0676-0.2021),0.5815 (0.4759-0.6909)
HVAP,0.4623 (0.2368-0.6546),0.1785 (0.0724-0.3593),0.3592 (0.213-0.5227)
OVAP,0.6172 (0.4001-0.7718),0.165 (0.0537-0.3215),0.2178 (0.107-0.376)
