race,SEN12D,SEN12R,SEN12None
WVAP,0.1428 (0.1348-0.1501),0.3527 (0.3441-0.3607),0.5045 (0.4957-0.5131)
OVAP,0.3404 (0.1024-0.6274),0.3275 (0.0991-0.6),0.3321 (0.1101-0.6342)
