race,AG14PD_BFR,AG14PD_ABR,AG14PD_JCA,AG14PDNone
WVAP,0.0094 (0.0064-0.0122),0.0021 (0.0008-0.0037),0.0121 (0.0085-0.0159),0.9764 (0.9717-0.9803)
OVAP,0.2206 (0.1016-0.3701),0.1455 (0.0698-0.2221),0.2726 (0.1206-0.4433),0.3613 (0.1987-0.5489)
