race,GOV14PD_AB,GOV14PD_DG,GOV14PD_HM,GOV14PDNone
WVAP,0.0112 (0.0084-0.014),0.0036 (0.0018-0.0059),0.0053 (0.0025-0.0086),0.9799 (0.9757-0.9835)
OVAP,0.179 (0.066-0.3067),0.1854 (0.0772-0.2862),0.2919 (0.1332-0.4345),0.3437 (0.1923-0.5235)
