race,GOV18PD_BJ,GOV18PD_JS,GOV18PD_KV,GOV18PD_RM,GOV18PD_RB,GOV18PDNone
WVAP,0.0093 (0.0065-0.0123),0.0012 (0.0004-0.0023),0.0029 (0.0015-0.0044),0.0011 (0.0004-0.0021),0.0022 (0.001-0.0037),0.9833 (0.9797-0.9864)
OVAP,0.2298 (0.1062-0.3544),0.0886 (0.0408-0.1344),0.1242 (0.0592-0.1965),0.081 (0.0347-0.124),0.1626 (0.0955-0.231),0.3137 (0.1871-0.461)
