race,SEN16PD_CV,SEN16PD_DE,SEN16PDNone
WVAP,0.0193 (0.0148-0.0243),0.0183 (0.0138-0.023),0.9624 (0.9564-0.9674)
OVAP,0.3774 (0.1668-0.581),0.3319 (0.1412-0.5334),0.2906 (0.0992-0.5414)
