race,GOV14D,GOV14R,GOV14None
WVAP,0.0637 (0.0568-0.0699),0.3117 (0.3032-0.3198),0.6247 (0.6159-0.633)
OVAP,0.3441 (0.097-0.6213),0.3247 (0.0989-0.6156),0.3311 (0.0999-0.6233)
