race,AG14PD_BFR,AG14PD_ABR,AG14PD_JCA,AG14PDNone
WVAP,0.0086 (0.0059-0.0111),0.0018 (0.0007-0.0031),0.0119 (0.0089-0.015),0.9776 (0.9742-0.9807)
BVAP,0.1798 (0.0667-0.3194),0.1071 (0.0352-0.2032),0.2739 (0.1006-0.4497),0.4393 (0.2564-0.6444)
HVAP,0.2628 (0.0745-0.4907),0.205 (0.0678-0.382),0.2754 (0.0837-0.5238),0.2568 (0.0896-0.4725)
OVAP,0.3098 (0.1194-0.5576),0.1702 (0.054-0.3022),0.2894 (0.0816-0.5334),0.2306 (0.0672-0.4632)
