race,GOV14PD_AB,GOV14PD_DG,GOV14PD_HM,GOV14PDNone
WVAP,0.0105 (0.008-0.0128),0.003 (0.0014-0.0049),0.0052 (0.0029-0.0077),0.9813 (0.9782-0.9841)
BVAP,0.177 (0.0673-0.3147),0.1334 (0.041-0.2488),0.2331 (0.0971-0.3908),0.4564 (0.2805-0.6452)
HVAP,0.233 (0.0787-0.4399),0.266 (0.0834-0.4879),0.2936 (0.1004-0.5192),0.2073 (0.0677-0.4048)
OVAP,0.2355 (0.0713-0.441),0.2318 (0.0814-0.407),0.3242 (0.133-0.5431),0.2085 (0.0603-0.408)
