race,PRES16D,PRES16R,PRES16None
WVAP,0.1042 (0.0968-0.111),0.4625 (0.4538-0.4704),0.4334 (0.4241-0.4418)
OVAP,0.3496 (0.1145-0.6472),0.3076 (0.0982-0.5932),0.3429 (0.1114-0.6434)
