race,COMP14D,COMP14R,COMP14None
WVAP,0.1131 (0.106-0.1198),0.2587 (0.2506-0.2666),0.6282 (0.6188-0.6365)
OVAP,0.3481 (0.1159-0.6172),0.3051 (0.0919-0.5746),0.3468 (0.1079-0.6439)
