race,AG14D,AG14R,AG14None
WVAP,0.0737 (0.0668-0.08),0.269 (0.2605-0.277),0.6573 (0.6487-0.6657)
OVAP,0.3423 (0.1108-0.6149),0.3288 (0.1053-0.608),0.3289 (0.1014-0.5978)
