race,AG18D,AG18R,AG18None
WVAP,0.0966 (0.0891-0.1035),0.3594 (0.3508-0.3673),0.544 (0.5355-0.5526)
OVAP,0.3634 (0.1331-0.6515),0.298 (0.086-0.5655),0.3386 (0.0875-0.615)
