race,GOV18D,GOV18R,GOV18None
WVAP,0.0532 (0.046-0.0591),0.4055 (0.3968-0.4136),0.5413 (0.5326-0.5496)
OVAP,0.3498 (0.1275-0.6524),0.3202 (0.1163-0.592),0.33 (0.1004-0.6062)
