race,SEN16D,SEN16R,SEN16None
WVAP,0.1103 (0.1027-0.117),0.4373 (0.4282-0.4456),0.4524 (0.4437-0.4603)
OVAP,0.3274 (0.1052-0.6046),0.3289 (0.1016-0.6098),0.3437 (0.1249-0.6154)
