race,AG14D,AG14R,AG14None
WVAP,0.074 (0.0691-0.0787),0.2687 (0.2621-0.2752),0.6573 (0.6503-0.6644)
BVAP,0.3308 (0.1047-0.6093),0.3396 (0.107-0.6236),0.3296 (0.1109-0.5996)
HVAP,0.3268 (0.0994-0.6104),0.3388 (0.086-0.6572),0.3344 (0.0964-0.6277)
OVAP,0.3329 (0.1038-0.6101),0.3364 (0.1159-0.6124),0.3306 (0.0963-0.5953)
