race,PRES16D,PRES16R,PRES16None
WVAP,0.1043 (0.0989-0.1094),0.4621 (0.4544-0.4697),0.4336 (0.4263-0.4412)
BVAP,0.3387 (0.1256-0.5895),0.3279 (0.1097-0.6162),0.3334 (0.1166-0.6082)
HVAP,0.3568 (0.1238-0.6267),0.3227 (0.0998-0.6378),0.3205 (0.0959-0.5856)
OVAP,0.3419 (0.1054-0.6488),0.3337 (0.1055-0.6215),0.3244 (0.0916-0.5919)
