race,SEN18D,SEN18R,SEN18None
WVAP,0.1153 (0.11-0.1207),0.3325 (0.3254-0.3395),0.5522 (0.5449-0.5596)
BVAP,0.3236 (0.0992-0.584),0.3305 (0.0899-0.6267),0.3459 (0.1217-0.6241)
HVAP,0.3409 (0.1151-0.6281),0.3324 (0.1232-0.6052),0.3266 (0.1087-0.5904)
OVAP,0.3419 (0.1237-0.6189),0.3234 (0.0986-0.5988),0.3347 (0.0854-0.6303)
