race,COMP18D,COMP18R,COMP18None
WVAP,0.1637 (0.1557-0.1712),0.2788 (0.2704-0.2865),0.5574 (0.5485-0.566)
OVAP,0.3528 (0.1203-0.6339),0.3206 (0.1107-0.5899),0.3266 (0.1004-0.6185)
