race,SEN18D,SEN18R,SEN18None
WVAP,0.1152 (0.1078-0.1221),0.3327 (0.3245-0.3409),0.5521 (0.5429-0.5607)
OVAP,0.3428 (0.1113-0.6232),0.3146 (0.1093-0.5842),0.3426 (0.1162-0.6123)
