race,COMP14D,COMP14R,COMP14None
WVAP,0.1136 (0.1084-0.119),0.2582 (0.2513-0.2649),0.6283 (0.6213-0.6349)
BVAP,0.3277 (0.1-0.6117),0.3348 (0.0953-0.6436),0.3375 (0.1043-0.6076)
HVAP,0.3264 (0.0911-0.5913),0.3253 (0.1011-0.5945),0.3483 (0.1198-0.6513)
OVAP,0.3321 (0.0941-0.5999),0.3369 (0.1039-0.6263),0.3309 (0.113-0.6031)
