race,SEN12PD_BC,SEN12PD_CM,SEN12PDNone
WVAP,0.0187 (0.0144-0.0232),0.0004 (0.0001-0.0008),0.981 (0.9764-0.9852)
OVAP,0.3823 (0.1782-0.5895),0.0363 (0.0151-0.0618),0.5815 (0.3688-0.7857)
