race,SEN16PD_CV,SEN16PD_DE,SEN16PDNone
WVAP,0.0201 (0.0165-0.0239),0.0181 (0.0144-0.0218),0.9619 (0.9573-0.9658)
BVAP,0.3361 (0.1216-0.5686),0.3084 (0.0926-0.5274),0.3556 (0.1309-0.6101)
HVAP,0.3225 (0.0977-0.6046),0.3726 (0.1408-0.6429),0.305 (0.0828-0.5685)
OVAP,0.3561 (0.1163-0.662),0.3465 (0.1152-0.6367),0.2974 (0.0956-0.5584)
