race,PRES12D,PRES12R,PRES12None
WVAP,0.1288 (0.1215-0.1359),0.4167 (0.4077-0.4252),0.4545 (0.4457-0.4625)
OVAP,0.3322 (0.1126-0.6034),0.3383 (0.1053-0.6202),0.3294 (0.1117-0.5858)
