race,COMP18D,COMP18R,COMP18Turnout
WVAP,0.514 (0.4202-0.61),0.486 (0.39-0.5798),0.4915 (0.3953-0.5982)
OVAP,0.9394 (0.8645-0.9822),0.0606 (0.0178-0.1355),0.6885 (0.5632-0.7872)
