race,SEN12D,SEN12R,SEN12Turnout
WVAP,0.3919 (0.3207-0.4607),0.6081 (0.5393-0.6793),0.4485 (0.3986-0.5023)
OVAP,0.9745 (0.943-0.993),0.0255 (0.007-0.057),0.661 (0.5981-0.7202)
