race,COMP14D,COMP14R,COMP14Turnout
WVAP,0.297 (0.2177-0.3783),0.703 (0.6217-0.7823),0.4153 (0.3702-0.4632)
OVAP,0.9551 (0.9013-0.9883),0.0449 (0.0117-0.0987),0.4408 (0.3834-0.4962)
