race,SEN16D,SEN16R,SEN16Turnout
WVAP,0.3824 (0.2829-0.4827),0.6176 (0.5173-0.7171),0.6389 (0.5252-0.7668)
OVAP,0.9395 (0.8702-0.9832),0.0605 (0.0168-0.1298),0.7409 (0.5961-0.8539)
