race,PRES12D,PRES12R,PRES12Turnout
WVAP,0.3492 (0.2817-0.4216),0.6508 (0.5784-0.7183),0.6314 (0.5699-0.702)
OVAP,0.9674 (0.9281-0.9918),0.0326 (0.0082-0.0719),0.7433 (0.6617-0.8114)
