race,SEN16PD_CV,SEN16PD_DE,SEN16PDTurnout
WVAP,0.7373 (0.5626-0.8891),0.2627 (0.1109-0.4374),0.0846 (0.0579-0.1155)
OVAP,0.3287 (0.2635-0.3921),0.6713 (0.6079-0.7365),0.3042 (0.2687-0.3362)
