race,AG14D,AG14R,AG14Turnout
WVAP,0.2763 (0.1806-0.3671),0.7237 (0.6329-0.8194),0.3624 (0.3189-0.4078)
BVAP,0.952 (0.8934-0.9869),0.048 (0.0131-0.1066),0.4235 (0.351-0.5017)
HVAP,0.7442 (0.4727-0.93),0.2558 (0.07-0.5273),0.5317 (0.2677-0.808)
OVAP,0.793 (0.5585-0.9471),0.207 (0.0529-0.4415),0.6265 (0.3194-0.8758)
