race,GOV14PD_AB,GOV14PD_DG,GOV14PD_HM,GOV14PDTurnout
WVAP,0.3425 (0.2125-0.4608),0.5076 (0.3979-0.6272),0.1499 (0.0769-0.2233),0.0933 (0.0735-0.1134)
OVAP,0.8274 (0.7585-0.8927),0.0996 (0.0455-0.1604),0.0731 (0.0324-0.1169),0.1869 (0.1636-0.2117)
