race,GOV18PD_BJ,GOV18PD_JS,GOV18PD_KV,GOV18PD_RM,GOV18PD_RB,GOV18PDTurnout
WVAP,0.3551 (0.2107-0.5186),0.0906 (0.0292-0.1616),0.1254 (0.0487-0.2224),0.0617 (0.0193-0.122),0.3672 (0.2161-0.5286),0.0573 (0.0418-0.0762)
OVAP,0.4536 (0.4049-0.503),0.0268 (0.0089-0.0454),0.0594 (0.0349-0.0831),0.0276 (0.0114-0.0399),0.4326 (0.384-0.4808),0.234 (0.2111-0.254)
