race,AG18D,AG18R,AG18Turnout
WVAP,0.4056 (0.3004-0.511),0.5944 (0.489-0.6996),0.4855 (0.3971-0.5945)
OVAP,0.9396 (0.8702-0.9834),0.0604 (0.0166-0.1298),0.7149 (0.5928-0.8046)
