race,AG18D,AG18R,AG18Turnout
WVAP,0.4741 (0.3744-0.5838),0.5259 (0.4162-0.6256),0.4373 (0.3652-0.537)
BVAP,0.9304 (0.8532-0.9795),0.0696 (0.0205-0.1468),0.7119 (0.5854-0.7974)
HVAP,0.6945 (0.4541-0.904),0.3055 (0.096-0.5459),0.9334 (0.8522-0.9842)
OVAP,0.7304 (0.5082-0.9136),0.2696 (0.0864-0.4918),0.9499 (0.8867-0.9853)
