race,PRES16D,PRES16R,PRES16Turnout
WVAP,0.3742 (0.2752-0.4788),0.6258 (0.5212-0.7248),0.623 (0.5133-0.7536)
OVAP,0.9385 (0.8535-0.9835),0.0615 (0.0165-0.1465),0.7649 (0.6241-0.8695)
