race,COMP18D,COMP18R,COMP18Turnout
WVAP,0.5808 (0.4822-0.6803),0.4192 (0.3197-0.5178),0.4401 (0.3589-0.5474)
BVAP,0.9331 (0.8521-0.9812),0.0669 (0.0188-0.1479),0.6854 (0.545-0.7855)
HVAP,0.7174 (0.4947-0.9079),0.2826 (0.0921-0.5053),0.9263 (0.8375-0.9808)
OVAP,0.7289 (0.5218-0.901),0.2711 (0.099-0.4782),0.9488 (0.8848-0.9859)
