race,AG14PD_BFR,AG14PD_ABR,AG14PD_JCA,AG14PDTurnout
WVAP,0.3961 (0.2775-0.5151),0.1089 (0.0326-0.2039),0.4949 (0.3805-0.6094),0.0929 (0.0723-0.1153)
OVAP,0.2676 (0.1963-0.34),0.4284 (0.362-0.5005),0.304 (0.2319-0.3745),0.1764 (0.1517-0.2007)
