race,SEN18D,SEN18R,SEN18Turnout
WVAP,0.4392 (0.338-0.5423),0.5608 (0.4577-0.662),0.4836 (0.4058-0.5769)
OVAP,0.9476 (0.8795-0.9853),0.0524 (0.0147-0.1205),0.691 (0.5896-0.7737)
