race,COMP14D,COMP14R,COMP14Turnout
WVAP,0.3315 (0.2455-0.4179),0.6685 (0.5821-0.7545),0.3945 (0.3478-0.4442)
BVAP,0.9487 (0.8842-0.9865),0.0513 (0.0135-0.1158),0.4302 (0.3527-0.5061)
HVAP,0.7264 (0.4075-0.9367),0.2736 (0.0633-0.5925),0.5299 (0.2744-0.8146)
OVAP,0.7704 (0.5368-0.9405),0.2296 (0.0595-0.4632),0.5904 (0.3371-0.8333)
