race,GOV18D,GOV18R,GOV18Turnout
WVAP,0.0944 (0.0407-0.1702),0.9056 (0.8298-0.9593),0.5717 (0.5116-0.6263)
OVAP,0.9201 (0.8386-0.9778),0.0799 (0.0222-0.1614),0.6158 (0.5569-0.6744)
