race,SEN12PD_BC,SEN12PD_CM,SEN12PDTurnout
WVAP,0.8209 (0.6267-0.9472),0.1791 (0.0528-0.3733),0.0331 (0.0188-0.0501)
OVAP,0.5851 (0.4974-0.6568),0.4149 (0.3432-0.5026),0.1087 (0.0901-0.1264)
