race,AG14D,AG14R,AG14Turnout
WVAP,0.2407 (0.152-0.3248),0.7593 (0.6752-0.848),0.3809 (0.3388-0.4255)
OVAP,0.9598 (0.9122-0.989),0.0402 (0.011-0.0878),0.4425 (0.3877-0.4964)
