race,GOV14D,GOV14R,GOV14Turnout
WVAP,0.128 (0.0566-0.209),0.872 (0.791-0.9434),0.4159 (0.3797-0.4572)
OVAP,0.9571 (0.9083-0.9885),0.0429 (0.0115-0.0917),0.4447 (0.3952-0.4901)
