HD-63661,POCVAP20_pct,BVAP20_pct,HVAP20_pct,AMINVAP20_pct,LG18P_Barnes,LG18P_Kober,GOV18P_Evers,GOV18P_Mitchell,SOS18P_LaFollette,SOS18P_Martin
1,0.06041302784341929,0.0031850405835816293,0.02677488955101202,0.0035960135621082912,0.6016932070147147,0.3983067929852852,0.8882175226586103,0.11178247734138973,0.6730250481695569,0.3269749518304432
2,0.07484248424842488,0.0063006300630063005,0.02668766876687669,0.0049504950495049506,0.5669640021535429,0.433035997846457,0.8888283479221097,0.11117165207789018,0.6990702351142147,0.30092976488578516
3,0.06625537071719734,0.002467775696816129,0.03128787044177592,0.002996584774705299,0.5322963006954262,0.46770369930457373,0.8590557398386791,0.1409442601613209,0.7086276306940552,0.2913723693059448
4,0.1307825566225378,0.028616036101546293,0.037898068738370726,0.014436341082618645,0.6043735332377534,0.39562646676224644,0.8623406514632153,0.1376593485367848,0.6745924198828677,0.3254075801171322
5,0.1512121414127947,0.009110503744194831,0.027198186787547495,0.06595115881163478,0.5706124576368956,0.4293875423631043,0.8759818367625846,0.12401816323741544,0.6834947309468932,0.3165052690531068
6,0.06515392781316354,0.003427990092002831,0.031073071479122433,0.003472222222222222,0.5525059547898548,0.4474940452101452,0.8604401101380982,0.1395598898619019,0.696738976026714,0.303261023973286
7,0.2752270486817543,0.05671497787192986,0.14615013528535772,0.008201019359439562,0.6457449184721912,0.3542550815278088,0.6305435145048349,0.3694564854951651,0.696416794899978,0.30358320510002196
8,0.686408271173638,0.08384477386460203,0.5335426305353602,0.007411953545463129,0.7520771020272515,0.2479228979727484,0.5163334958556801,0.48366650414431983,0.6054018445322793,0.3945981554677207
9,0.744948941044576,0.06746118788233287,0.5947210645609418,0.007750237625210207,0.7309165147984958,0.26908348520150416,0.5561950247388671,0.4438049752611329,0.6074785382240168,0.3925214617759832
10,0.6106396649901402,0.5031794917244589,0.04063545521015665,0.0021048899918020073,0.8732400896672354,0.1267599103327645,0.3757166922280132,0.6242833077719868,0.6074736284992197,0.39252637150078024
11,0.5822572876768881,0.4505401252264856,0.04412742826999381,0.0018348203022866447,0.8380977549335799,0.1619022450664202,0.38883086440839376,0.6111691355916063,0.6109844467819957,0.38901555321800424
12,0.6328936898705182,0.4530658500711306,0.049622646058881684,0.0026523280206399344,0.8095617529880478,0.1904382470119522,0.2905815972222222,0.7094184027777778,0.5743003547497044,0.42569964525029563
13,0.5174781101582371,0.41875436108672653,0.04040335831813987,0.002453462984221307,0.8467113209618975,0.15328867903810256,0.3886901485965878,0.6113098514034122,0.6022337719783257,0.3977662280216742
14,0.16895861579185223,0.022811888006542276,0.030602362967267094,0.0014849247853315256,0.6596173212487412,0.3403826787512588,0.7306152165999272,0.2693847834000728,0.6754002911208151,0.3245997088791849
15,0.20520041501683361,0.02841594850403371,0.12094776293222098,0.002795011328265611,0.6848715668024231,0.31512843319757694,0.7394037212480319,0.26059627875196817,0.6640207115108685,0.3359792884891316
16,0.5588950368879946,0.42308014755197854,0.0698985580147552,0.002829476861167002,0.8806511934880651,0.11934880651193489,0.3751117734724292,0.6248882265275708,0.5625140544187093,0.4374859455812908
17,0.6880810710301227,0.5570146894756415,0.040047415396058016,0.00251022685013016,0.8257564893159329,0.17424351068406713,0.2652491075585907,0.7347508924414092,0.5662199164144689,0.43378008358553105
18,0.6200465697900047,0.43540597645638396,0.07106204993316373,0.0037298952179724894,0.8495174909529554,0.15048250904704463,0.3427058608727406,0.6572941391272594,0.5684578020643595,0.4315421979356406
19,0.2696738138686131,0.06632071167883212,0.12553223844282238,0.0039917883211678835,0.8139642238892094,0.18603577611079053,0.6664744329104191,0.3335255670895809,0.6132609721566776,0.3867390278433223
20,0.3446972152008123,0.04826409142955906,0.1950871735044397,0.006524510121632424,0.6412645508217846,0.35873544917821537,0.6542144217296019,0.34578557827039824,0.7131666886251213,0.28683331137487866
21,0.19459482143606532,0.02901926224348483,0.10390700407067019,0.0063577993201561125,0.6298726026647711,0.37012739733522904,0.6526816552481823,0.34731834475181766,0.7065323525222279,0.293467647477772
22,0.22072179473284925,0.09233770456269644,0.03825728839276038,0.002362631407824862,0.7236421725239617,0.2763578274760383,0.6492855352218602,0.3507144647781399,0.6591107236268526,0.34088927637314737
23,0.1378377807356701,0.03748072088060679,0.029071855654856225,0.0013310515307092604,0.7082889331285815,0.29171106687141846,0.7501939427464763,0.24980605725352362,0.6923876725958655,0.3076123274041346
24,0.09075383185247643,0.014743714464837755,0.02987655922346888,0.0020537432172427956,0.6189498016010957,0.38105019839890425,0.6989498176157859,0.30105018238421416,0.6795206846499668,0.32047931535003316
