SD-63866,POCVAP20_pct,BVAP20_pct,HVAP20_pct,AMINVAP20_pct,LG18P_Barnes,LG18P_Kober,GOV18P_Evers,GOV18P_Mitchell,SOS18P_LaFollette,SOS18P_Martin
1,0.13694411163577425,0.0160546902530129,0.06439495383747974,0.006328846289379096,0.5830567626171577,0.4169432373828424,0.864216956554341,0.13578304344565895,0.6804672048207753,0.31953279517922467
2,0.10439265618655369,0.009230523812286095,0.03039619467486513,0.018359533615638957,0.599880247870396,0.4001197521296041,0.8701939477831134,0.1298060522168866,0.6683792713011477,0.3316207286988523
3,0.49137502308993,0.05807294996945025,0.3535743211560595,0.0049376927121076485,0.8195882748328149,0.18041172516718507,0.6651135810785523,0.3348864189214477,0.6175537662518735,0.3824462337481265
4,0.5475078293023432,0.41937893823340755,0.04648530355054145,0.002799683054748519,0.8199204611466107,0.18007953885338934,0.36752971828692393,0.6324702817130761,0.5962390866353258,0.4037609133646743
5,0.21926061159288002,0.036674507601025176,0.11224239019766176,0.0054558859670680755,0.6300224518270062,0.36997754817299383,0.6790274459037017,0.3209725540962983,0.7055661037712416,0.2944338962287583
6,0.6959732248720527,0.5335514565729638,0.0798225997688694,0.003481967311531015,0.8660159182540107,0.13398408174598928,0.28783978976555735,0.7121602102344426,0.5697740976692743,0.4302259023307256
7,0.20655637429229845,0.03440353921875444,0.09670260889356738,0.004573387578593986,0.6530982863032727,0.3469017136967274,0.6850548395251539,0.31494516047484605,0.705066420746522,0.29493357925347796
8,0.2901689233890531,0.17931754362751584,0.03654126053014599,0.0018744762492832886,0.7315871236863594,0.26841287631364064,0.5470595498642183,0.45294045013578177,0.6477553186324684,0.3522446813675315
9,0.1231904974959227,0.013530676750328345,0.050687719196963354,0.003456636887150548,0.42589251340195267,0.5741074865980473,0.7967082753392087,0.2032917246607913,0.7028696083377798,0.2971303916622202
10,0.07308929458072777,0.006159735764605986,0.021192081573323165,0.006951290594169839,0.6619763013118917,0.33802369868810833,0.8441088898341131,0.15589111016588686,0.6033997183665258,0.39660028163347416
11,0.12255758874446665,0.009396058307722673,0.0759226886965348,0.0025023261059576507,0.6116913843511487,0.3883086156488513,0.7103005545457071,0.289699445454293,0.6745976716560325,0.32540232834396754
12,0.10325288996422444,0.003377656457872352,0.01691585499514031,0.05115426239565454,0.5949310013082094,0.4050689986917907,0.9102864614791334,0.08971353852086661,0.7007446727619211,0.29925532723807885
13,0.11837581890121296,0.021613947085828776,0.05181869941550813,0.002558503239569595,0.6953376857605701,0.30466231423942985,0.7607108016781362,0.2392891983218637,0.6809085616085533,0.31909143839144677
14,0.08901433216573396,0.01236445846183904,0.03448372106004996,0.00474482604630392,0.618916952600048,0.3810830473999521,0.8457748090872829,0.15422519091271722,0.704876884947254,0.2951231150527461
15,0.1602111782323976,0.04122036651606681,0.07103333744279985,0.0024584279114965952,0.637517146776406,0.36248285322359397,0.7377349397590361,0.2622650602409639,0.7180737750868931,0.28192622491310687
16,0.21995011741368997,0.05629293621738306,0.08248129403013375,0.0025378859701579615,0.7418098933778506,0.25819010662214936,0.7625007787313219,0.23749922126867803,0.6310686791638231,0.3689313208361768
17,0.07205752545802924,0.007470559107838705,0.031805492762671604,0.004083331539250935,0.6516343136863363,0.3483656863136637,0.8213980944526603,0.17860190554733965,0.7140453269549704,0.28595467304502964
18,0.1282869363999719,0.029675338335320104,0.044365752752261414,0.005336231680807798,0.6001670796701373,0.3998329203298627,0.8537184397807989,0.14628156021920122,0.6801726090046233,0.3198273909953766
19,0.13545689014527806,0.016582394684307927,0.04878546344733123,0.005726609060573827,0.645650069649578,0.35434993035042184,0.8757352310826253,0.12426476891737477,0.6460030609272466,0.3539969390727535
20,0.08717088833392794,0.01763824473778095,0.03658223332144131,0.0029753835176596502,0.5862933273220765,0.41370667267792344,0.7228336147105541,0.277166385289446,0.7067129771684543,0.29328702283154573
21,0.31580694033619505,0.12069114782483226,0.13032248755501047,0.003455739124161316,0.6546975911834303,0.3453024088165696,0.5477177898168375,0.4522822101831624,0.6443369919206131,0.35566300807938683
22,0.23073253241965563,0.05920833875468043,0.11603851324977231,0.002407078110768964,0.6157636860400082,0.3842363139599918,0.7028545507075646,0.2971454492924354,0.6712542319293214,0.3287457680706786
23,0.08839189876278175,0.00893311112366533,0.018720693746116037,0.004208801762612282,0.6434872965698447,0.3565127034301553,0.89787470601717,0.10212529398282995,0.6831462964856068,0.31685370351439324
24,0.08289796239252711,0.010377432657466105,0.02757309586260622,0.009305383829215474,0.5732412009649706,0.42675879903502933,0.8705121669860486,0.12948783301395142,0.728823692017655,0.27117630798234515
25,0.10504219175040252,0.008209348803641815,0.01525981235774163,0.03983234330761117,0.6323499583331981,0.367650041666802,0.8371072148186948,0.1628927851813053,0.6688605819812431,0.3311394180187569
26,0.25523680167735896,0.05178450157252402,0.06127239280792789,0.0025977964883593663,0.8074514999526308,0.1925485000473692,0.7482815575995051,0.2517184424004949,0.5454001115251041,0.4545998884748958
27,0.1516676035892437,0.029495271505931075,0.04515729625491884,0.0031167500409162393,0.7208641156508906,0.2791358843491094,0.8028398519849621,0.19716014801503787,0.6549604774052006,0.34503952259479936
28,0.15758068110742862,0.018533828910760115,0.0628410389871816,0.0019626591515273513,0.6763242934393578,0.32367570656064215,0.7493867554837841,0.2506132445162159,0.6734280175607588,0.3265719824392413
29,0.09074636657966428,0.0059831985509106725,0.018841013792021452,0.003701168114329725,0.6205138863829163,0.37948611361708373,0.9099982434271595,0.09000175657284047,0.7157573928499247,0.28424260715007527
30,0.16793415374315013,0.026773693517986186,0.06444171136226358,0.025500141910036314,0.6027685209275504,0.3972314790724496,0.8473259542021476,0.15267404579785232,0.6746371153177475,0.3253628846822525
31,0.09130246968749067,0.01056841540798999,0.04278011141895314,0.00795424077218697,0.581711695323132,0.4182883046768679,0.9102400014570944,0.08975999854290559,0.7073837543649504,0.2926162456350496
32,0.08920174454120555,0.012359534599593698,0.02015172394198122,0.0030259550226591466,0.6359043766032789,0.3640956233967211,0.8517792399218908,0.1482207600781093,0.6819923579123799,0.3180076420876202
