HD-63855,POCVAP20_pct,BVAP20_pct,HVAP20_pct,AMINVAP20_pct,LG18P_Barnes,LG18P_Kober,GOV18P_Evers,GOV18P_Mitchell,SOS18P_LaFollette,SOS18P_Martin
1,0.08604999897290522,0.008853556829153057,0.012961935868203201,0.016864895955300836,0.6110031506722836,0.38899684932771633,0.7242153768362072,0.2757846231637928,0.6579737817218084,0.3420262182781916
2,0.15438877920368543,0.0038458374465284635,0.013573543928923988,0.0940893385982231,0.6614885626493684,0.3385114373506316,0.8806168572188248,0.11938314278117522,0.6616790045676485,0.33832099543235156
3,0.08059160881376393,0.003984304255961364,0.01265720897474595,0.03455075963376597,0.628451099672438,0.371548900327562,0.9207295685724307,0.07927043142756927,0.7024994470249945,0.29750055297500555
4,0.07222737102255172,0.003398208217485326,0.017299969107198023,0.020306868499639585,0.5467378863029378,0.4532621136970622,0.9099660249150623,0.09003397508493771,0.7242359630419332,0.2757640369580668
5,0.06515752138535369,0.0031295639474233257,0.015376590861673273,0.013394533694971834,0.6254221676389315,0.37457783236106845,0.8634730538922155,0.13652694610778443,0.6543356022491862,0.34566439775081387
6,0.07352721211991708,0.012072907540759417,0.019402123977008055,0.0073505844141968845,0.6086615748711537,0.3913384251288464,0.904642317727359,0.09535768227264102,0.697449437264874,0.30255056273512604
7,0.05564364072677408,0.006513541309564621,0.013755570791909496,0.0034281796366129585,0.5932741341073671,0.4067258658926329,0.9220110800023827,0.07798891999761721,0.725714221147003,0.27428577885299693
8,0.045241612154462985,0.002236758809875501,0.015298586199620172,0.0032918337201941336,0.5730816077953715,0.4269183922046285,0.9037294015611448,0.09627059843885516,0.715928694652099,0.2840713053479011
9,0.15947972063817517,0.002712458085047308,0.02103756861237479,0.10076674996262361,0.5887820898459029,0.41121791015409725,0.8942905744349814,0.1057094255650186,0.6759020927804661,0.3240979072195338
10,0.0593619190144663,0.0022773114711432106,0.017199123777300627,0.01058407617064654,0.550260763538753,0.449739236461247,0.8943083401977774,0.10569165980222262,0.7220007786562911,0.2779992213437089
